Occupation,Belgium,Austria,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,The Netherlands,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden
Occupation_2digit ISCO_51,0.09774,0.17692,0.0589,0.20072,0.08548,0.09604,0.27369,0,0,0.06272,0.08782,0.1673,0.13888,0.12438,0.241,0.25191,0.18553,0.16743,0.19622,0.11771,0.07061,0.07454,0.11515,0.13311,0.15705,0.12646,0.11482
Occupation_2digit ISCO_52,0.0343,0.16848,0,0.1845,0.02898,0.08585,0.12032,0,0,0,0.03696,0.10857,0.12637,0.09958,0.12326,0.17922,0.16724,0.1357,0.24414,0.08475,0.05462,0.1171,0.12319,0.05803,0.13168,0.1169,0.13074
Occupation_2digit ISCO_53,0.15744,0.2821,0.10435,0.31903,0.12028,0.16076,0.17968,0,0.09352,0,0.1276,0.2852,0.12585,0,0.08511,0.15999,0.26858,0.26839,0.27729,0.21457,0.09137,0.05648,-0.13516,0.15991,0.09878,0.20447,0.19393
Occupation_2digit ISCO_54,0.43893,0.06668,-0.1937,0.15501,0.22867,0.21406,0,0,-0.11294,0.17997,0.19669,0,0.3104,0,0.12597,0.11688,0.21072,0.07735,0.21885,0.21429,-0.09305,0,-0.07907,0.13224,0.17599,0.23797,0.18457
Occupation_2digit ISCO_61, , ,0,0.14868,0.09187,0.19388,0.15978,0, ,0.07238,0,0,0.12947,0,0.20381,0,0.15903,0,0,0,0.06685,0,0.0839,0,0,0.06213,0.07219
Occupation_2digit ISCO_62, , ,0,0.18131,0,0.22092,0.32177,0, ,0.15063,0,0.14999,0.3512, ,0, ,0.11458,0, ,0,0,0,0,0,0,0,0.08411
Occupation_2digit ISCO_63, , , ,0.27843, , , , , , , ,0, , , , , , , , , , , , , , , 
Occupation_2digit ISCO_71,0.13057,0.24609,0.21619,0.20763,0.17992,0.18905,0.30814,0.21779,0,0.08647,0.01908,0.1089,0.16834,0.23243,0.28465,0.21509,0.24781,0.12188,0.17935,0.15358,0.10889,0.07239,0.13926,0.07276,0.20853,0.18151,0.17127
Occupation_2digit ISCO_72,0.19229,0.27546,0.24737,0.28299,0.17064,0.2065,0.38004,0.23449,0.12652,0.1722,0.08701,0.22633,0.15591,0.29262,0.33236,0.31491,0.26543,0.24197,0.31562,0.16171,0.20657,0.19024,0.25572,0.14717,0.28761,0.13426,0.13351
Occupation_2digit ISCO_73,0.13717,0.29315,0.12334,0.19877,0.14924,0.13686,0.28763,0,0,0.03535,0,0.1546,0.09427,0,0.32341,0.20935,0.19147,0.13852,0.33832,0.12955,0.13721,0,0.19419,0.1496,0.18511,0.06727,0.14511
Occupation_2digit ISCO_74,0.22714,0.30024,0.18932,0.31081,0.21371,0.22707,0.39058,0.26984,0.12534,0.12531,0.09251,0.24957,0.16333,0.23782,0.33846,0.37311,0.26777,0.25048,0.2807,0.1329,0.21055,0.20347,0.22392,0.17043,0.26092,0.18858,0.20239
Occupation_2digit ISCO_75,0.13696,0.12087,0.04489,0.14212,0.09022,0.06357,0.18511,0,0,0,0.04372,0,0.05592,0.1184,0.16545,0.20616,0.21564,0.12254,0.17594,0.08801,0,0,0.12118,0,0.11266,0.13125,0.07657
Occupation_2digit ISCO_81,0.16676,0.20054,0.09324,0.22039,0.13004,0.10028,0.25868,0,0,0.11413,0,0.18235,0.16412,0.13108,0.1721,0.33802,0.1853,0.18834,0.17725,0.17089,0.15148,0.03598,0.17659,0.12169,0.23792,0.17743,0.18154
Occupation_2digit ISCO_82,0.19644,0.21225,0.14858,0.22854,0.08203,0.1661,0.20298,0,0,0.13373,0.09233,0,0.08896,0.24753,0.20479,0.26563,0.19791,0.0862,0.21827,0.0634,0.11572,0.13202,0.14193,0,0.17908,0.04835,0.1076
Occupation_2digit ISCO_83,0.13547,0.14428,0.12454,0.20933,0.04967,0.07263,0.25373,0,0,0.10045,0.04334,0.17142,0.17883,0.19484,0.29445,0.21635,0.13961,0.15053,0.18741,0.09047,0.09864,0,0.13527,0.07403,0.19884,0.14393,0.11085
Occupation_2digit ISCO_91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Occupation_2digit ISCO_92, ,0.06169,-0.06344,0,0,0.06386,0,0,-0.14205,0,0,0.1002,0,0.12119,0,0,0,-0.18214,0.28055,0,0,-0.07167,0,0,0,-0.07084,0
Occupation_2digit ISCO_93,0.05427,0.1105,-0.02785,0.10426,0.07001,0.01649,0.19388,0,-0.09032,0,-0.02792,0.09254,0.10267,0,0.12796,0.07908,0.14039,-0.022,0,0,0.06128,0,0.06047,0,0.09766,0.06027,0.09877
Occupation_2digit ISCO_94,0,0.04919,0,0,-0.01366,0,0,0,0,0,0,0.094,0.08125,0,0,0.13885,0.05227,0.05294,0,0,0.07565,0,0.07016,0.05117,0,-0.01582,0.0348
Occupation_2digit ISCO_95, , ,-0.06334,0,0,-0.06928,0.45556, ,0,-0.19238, ,0,-0.03043,0.3571,0.41378, ,0,0.15189,0.11941,0.68195,0,0.09873,0.21401,0,0,0.08704, 
Occupation_2digit ISCO_96,0.10712,0,-0.04743,0.04176,0.08438,0.05482,0,0,-0.09269,0,-0.13595,0.05483,0.07886,0,0,0,0,-0.17274,0.06292,0,0,0,0,0.04286,0.05578,-0.05384,0
