esco_skill_label,esco_skill_uri,max_similarity,n_similar,mean_similarity,max_similarity_capability
influence public policies,http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb,0.9546900391578674,366,0.6962088821892555,utilize platform and data to shape policy related to government funding and regulations
manufacture ingredients,http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,0.8802462816238403,0,0.6431850960879387,create standardized patentable formulas with natural ingredients
maintain aquaculture ponds,http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb,0.8832909464836121,0,0.6202016711894605,"develop digital tools for monitoring, measuring, and controlling water usage in fields"
apply credit risk policy,http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,0.9119390845298767,3,0.6631225387698483,accelerate business processes for risk assessment
handle customer requests related to cargo,http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0,0.9364340305328369,204,0.6920936155160151,summarize and respond to customer concerns in telecommunications
draft scientific or academic papers and technical documentation,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,0.8923187255859375,0,0.6688630859998487,analyze scientific and technical documents
produce guitar components,http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8,0.8994780778884888,0,0.6677245351105334,"simulate designs, components, and systems"
operate agricultural machinery,http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce,0.8770005702972412,0,0.6230453746402347,"oversee warehouse stock organization, storage, and categorization"
control pyrotechnics stock,http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8,0.8961180448532104,0,0.6961996480488659,accelerate the permitting and construction planning processes
guarantee customer satisfaction,http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,0.929364025592804,53,0.7069429514651442,deliver customized responses to enhance customer service experience
manufacture wearing apparel products,http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,0.8895128965377808,0,0.6619755372587862,"design affordable, customizable, and scalable prosthetics"
cure tobacco leaves,http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000,0.7833780646324158,0,0.5572406681512541,determines the color and form of products and moves them to their proper spot
develop a rehabilitation programme,http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,0.9285271763801575,11,0.6958155536108708,plan and manage workforce with a strategic workforce management solution
maintain inventory of cleaning supplies,http://data.europa.eu/esco/skill/00ec5333-e570-477b-9017-2e95fea0150a,0.9388481378555298,162,0.6896200483380326,ensure the delivery of secure products
supervise housekeeping operations,http://data.europa.eu/esco/skill/00f12ec1-b416-4e3c-8ed7-c4f875c6b681,0.9036453366279602,2,0.6848049880503729,faster time to respond with integrated SOAR capabilities and hundreds of pre-built playbooks for response actions
act as contact person during equipment incident,http://data.europa.eu/esco/skill/00f2eee1-cd4d-4a45-ae10-b6060f53ad5d,0.877950131893158,0,0.6462145717095188,act as a personal tour guide with information about the explored world
manage time in landscaping,http://data.europa.eu/esco/skill/00fc7575-0cee-4b12-ade5-795cb2a4479a,0.9328997135162354,43,0.6941762104408921,change and optimize the schedule in near real time
advise on customs regulations,http://data.europa.eu/esco/skill/00ff06cc-103f-4c85-b5df-6f75acff6abf,0.9427154064178467,101,0.7310573804128316,"recommend optimal service packages to consumers based on their needs, interests, and circumstances"
manage university department,http://data.europa.eu/esco/skill/011711eb-f20b-4d64-84d7-17b8979946dc,0.8852835893630981,0,0.6613926266336552,help academic institutions and enterprises scale their learning and development programs
develop terminology databases,http://data.europa.eu/esco/skill/0121ac3b-775b-4faf-b86d-0078623674bc,0.907965898513794,3,0.7331147930748061,perform entity linking against custom taxonomies and reference data
assess nutritional characteristics of food,http://data.europa.eu/esco/skill/01267c89-b27f-4de0-b555-3683c5a5d66e,0.9209499955177307,28,0.6453442954115238,reduction of food spoilage
repair electric bicycles,http://data.europa.eu/esco/skill/012795fe-5f85-4d12-a10e-9dabda4ea05f,0.9130976796150208,6,0.6974046986213223,optimize operation and maintenance systems for fault prediction and sensing
maintain sorting equipment,http://data.europa.eu/esco/skill/012d6406-016a-4790-aeb8-853e61058517,0.9149263501167297,2,0.7002166774083651,automate sorting systems for recycling materials with precision and speed
explain features in accommodation venue,http://data.europa.eu/esco/skill/012f9ad1-b95b-42f1-b2c7-3793cdbce443,0.8652167916297913,0,0.6467631116576251,enable guests to skip the front desk and check in directly
purchase vehicle parts,http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f,0.8762715458869934,0,0.6656193420322404,choose the right manufacturing material for projects
inspect offshore constructions,http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,0.9358868598937988,33,0.7207941368375427,accelerate the permitting and construction planning processes
transport patient to medical facility,http://data.europa.eu/esco/skill/01468114-b99c-4f48-9374-a520a7faa9c9,0.9259145855903625,50,0.6871815586625959,route patients to the appropriate clinical resources
adjust envelope cutting settings,http://data.europa.eu/esco/skill/0156865e-5010-4908-8e0f-ce3aebc2d136,0.9010796546936035,1,0.7004522986449394,eliminate traditional barriers and complexities associated with developing applications for the cloud
prepare oils,http://data.europa.eu/esco/skill/0157feec-52c2-4764-b83d-2d017ce8e49d,0.8768848776817322,0,0.6810509076810355,eliminate traditional barriers and complexities associated with developing applications for the cloud
purchase supplies,http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5,0.8654575943946838,0,0.6343727647868997,optimize decision making for perishable shippers and service providers
pursue excellence in the creation of food products,http://data.europa.eu/esco/skill/015cd017-b146-4c9d-ab10-5dfca451c30a,0.9474177956581116,72,0.649007815392461,promote the development and application of computer graphics in fashion
maintain personal hygiene standards when cleaning,http://data.europa.eu/esco/skill/0162b701-6bb4-400a-b557-7996053d7daf,0.8993727564811707,0,0.6861879436044562,"provide users with actionable steps to identify and remediate to streamline the incident response process while minimizing downtime, reducing damage, and quickly restoring normal operations"
liaise with typists,http://data.europa.eu/esco/skill/0167ee96-f478-4383-afe6-aabf387da5b3,0.9267008304595947,26,0.6913584946963631,"scale to meet the demands of any production including multiple actors, big stages, and events"
assess railway operations,http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2,0.9337514042854309,99,0.7123705740170613,enhance productivity and efficiency with advanced analytics capabilities in the areas of industrial and building automation
practise extreme sports,http://data.europa.eu/esco/skill/016e7bf4-fe86-4a1f-ace1-54e5b697293d,0.9102855920791626,3,0.6688330708636777,"accomplish all of the above in a secure, compliant, and cost-effective manner, running securely in their cloud account"
adopt ways to foster biodiversity and animal welfare,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,0.9213423132896423,27,0.7152212638779287,accelerate research and operations insights related to potential pathogen risks throughout the food supply chain
provide chaperone for children on set,http://data.europa.eu/esco/skill/0174a9e6-bf12-4ac3-bfc3-0a5469410f18,0.8890546560287476,0,0.6213017352184697,save time on documentation for clinicians
organise labour,http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5,0.9023400545120239,2,0.6838053906895168,provide customized operation support and services to local lifestyle merchants in promotional and sales efforts
use glass engraving tools,http://data.europa.eu/esco/skill/017738e7-7d12-4e87-a580-8523405bab96,0.8580436110496521,0,0.6333616443265488,fabricate transparent metalens using nanoimprinting
operate wrecking ball,http://data.europa.eu/esco/skill/017d3b78-ebfa-431d-acc5-8050e9b0fdc8,0.8598917722702026,0,0.6121777383996917,deliver custom analog ICs in a fraction of the time compared to traditional methods
evaluate garment quality,http://data.europa.eu/esco/skill/018164df-2814-4926-bdf7-398d86b9dfe6,0.9223612546920776,4,0.6946977817589197,"ensure increasing levels of answer quality, efficiency, and innovation"
apply for refunds,http://data.europa.eu/esco/skill/01819474-b960-4b8f-b020-2da26518d43a,0.8913707137107849,0,0.6284409873737389,assist authoring for cash refund explanations
perform a feasibility study for building management systems,http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,0.9507508277893066,358,0.7291650619687345,improve the efficiency and effectiveness of the expert matching process
peform small vessel administrative duties,http://data.europa.eu/esco/skill/0194a8eb-c262-411a-ad3f-f3d587630562,0.8922598361968994,0,0.644866918065987,return a unified stream of compliance intelligence on companies and people
advise on construction materials,http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521,0.9308376312255859,29,0.6605787147313525,provide detailed information on alternative investments
maintain rotating equipment,http://data.europa.eu/esco/skill/01c4bbed-0449-44c9-9c05-48c30ffdcc22,0.8986470103263855,0,0.7112550257029221,determine necessary protective gear and equipment for crews
manage volunteers in second-hand shop,http://data.europa.eu/esco/skill/01cea4d4-41fa-42a2-9bf7-7ba0a8f439c1,0.888375461101532,0,0.5633060002876373,efficient in-house picking
pump products for storage,http://data.europa.eu/esco/skill/01d3d692-dcba-4544-82d2-fc27726bdbbc,0.8931838274002075,0,0.6579516515644228,streamline permitting process for electrification equipment
attend to detail in casting processes,http://data.europa.eu/esco/skill/01e5d2e2-d368-4fb9-9be9-9923146482c4,0.9424446821212769,98,0.6840419021903483,adhere to best practices in task creation and maintenance
keep up to date on product knowledge,http://data.europa.eu/esco/skill/01e7dee7-3ff1-4807-acad-058dbed91aba,0.9142524003982544,9,0.6766178149459097,allow service agents to focus on complex customer issues
write Hungarian,http://data.europa.eu/esco/skill/01f10952-cb59-4347-9aee-d4fbc51c870a,0.8339791893959045,0,0.48116265963626664,assist in writing configurations
monitor drilling fluid,http://data.europa.eu/esco/skill/01f91b5b-3e2f-40a2-ab88-bc8113c0ab37,0.85933917760849,0,0.6618540611920996,validate operational effectiveness and efficiency with liquid cooling and testing processes
develop efficiency plans for maritime shipping,http://data.europa.eu/esco/skill/01faf296-e037-494c-bb1c-65bda5aed750,0.9348928928375244,175,0.7335848231001366,accelerate the permitting and construction planning processes
tend packaging machines,http://data.europa.eu/esco/skill/01fec851-b5f4-419b-940a-3b4c835adfa8,0.909263551235199,4,0.6761980789783436,"add intelligence and sensing capabilities to food, apparel, packaging, pharmaceuticals"
advise on clay products handling,http://data.europa.eu/esco/skill/01ffbbf3-0c62-45e0-92d9-01a86dc7c81d,0.8925541639328003,0,0.6012258933285514,streamline negotiations on buying and selling sides
maintain drilling equipment,http://data.europa.eu/esco/skill/0200e5e6-218d-4dae-b1ab-250382250ecb,0.8982147574424744,0,0.667928035344319,support transport of equipment and material
control tree diseases,http://data.europa.eu/esco/skill/02053349-bc3a-4945-bcf7-33d2136c14d5,0.8591509461402893,0,0.5414849148859793,visualize tree planting and tree growing activities
analyse the artistic concept based on stage actions,http://data.europa.eu/esco/skill/0207f83d-a1e4-4b47-b80c-84d41257791f,0.9293018579483032,28,0.689573870645114,return a unified stream of compliance intelligence on companies and people
migrate existing data,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,0.9314870834350586,219,0.736170428971232,integrate contracts and leverage data within them
manage supplies,http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99,0.9577970504760742,323,0.728047911647857,monitor and regenerate the biodiversity of production sites and supply chains
perform roof maintenance,http://data.europa.eu/esco/skill/021cf226-3dac-4712-9738-24bf0952c064,0.8281851410865784,0,0.5728137728881663,provide roof condition scores
define database physical structure,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,0.9445029497146606,267,0.7223619873246646,achieve consistent access and delivery of data across a wide spectrum of data sources and types
lay stones,http://data.europa.eu/esco/skill/0232e2ee-5535-46e0-9c64-ea80c896c62f,0.8144410252571106,0,0.5569118569563121,determines the color and form of products and moves them to their proper spot
assemble circus rigging equipment,http://data.europa.eu/esco/skill/0234bf2c-0483-4953-be59-edc2fcdd9e4b,0.8337540626525879,0,0.6061486634036478,set up integrations with granular access control
manage documentation of prior learning assessments ,http://data.europa.eu/esco/skill/0238dd62-d407-4a87-ae0c-e08cd7b4ea8d,0.9453563094139099,288,0.735166810483879,"securely ingests vast amounts of data including team feedback, assessments, company content, learning and training materials, prior conversations to precisely tailor advice to each user"
perform oral health diagnosis,http://data.europa.eu/esco/skill/023e4b09-a193-4c2b-9009-f7dc9326a19b,0.8876539468765259,0,0.6459490858655396,expedite diagnoses for cognitive and mental health conditions
search historical sources in archives,http://data.europa.eu/esco/skill/0240c5a8-d8ec-4cd5-948f-4649334c01b8,0.8981040716171265,0,0.6175122911719413,adapt and discern information in documents
supervise performers' fights,http://data.europa.eu/esco/skill/024910a2-1ee8-4f07-bac6-33b577d9392e,0.8940621614456177,0,0.6576761000694042,"securely collect, verify, manage, and make decisions about individuals' and businesses' identities"
develop script bible,http://data.europa.eu/esco/skill/0253b09a-7217-43fc-b62f-e6b23ffebac9,0.8695523738861084,0,0.650788058590114,eliminate the need for writing code with natural language answers
operate radio equipment,http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,0.8973121047019958,0,0.6989764650875717,provide remote and touch-based control of various home appliances through voice commands while driving
remove contaminated materials,http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,0.9106611609458923,2,0.6830196301926881,detection and tracking of defects to certain numbered parts
inspect paint quality,http://data.europa.eu/esco/skill/026db24f-6972-460b-a784-d34afaf8d498,0.8840004205703735,0,0.675814168338338,optimize packaging to use least amount of material while maintaining product integrity
collect property financial information,http://data.europa.eu/esco/skill/02820870-3b92-480b-8475-8a521563ea3c,0.9193873405456543,41,0.7083697168329001,collect and analyze intel inside the company
trace financial transactions,http://data.europa.eu/esco/skill/0295b2a4-fb86-495f-9547-d479532fc4c2,0.9305315017700195,40,0.7211530044887463,ensure compliance and transparency in accounts payable processes
contribute to quality physiotherapy services,http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,0.9579057693481445,248,0.7293680726216872,provide customized operation support and services to local lifestyle merchants in promotional and sales efforts
install radtors,http://data.europa.eu/esco/skill/02a78cf3-8b31-4911-bcad-c989a1b7ff40,0.8906944394111633,0,0.6805441919626224,connect solar panels to the boiler
advise on care products for pets,http://data.europa.eu/esco/skill/02ae2a55-4b7c-41d2-86ec-9a2a38b73fe6,0.896415114402771,0,0.6727399379906133,provide feedback on best placement for retention ponds and swales
operate remote sensing equipment,http://data.europa.eu/esco/skill/02b6350e-433a-42b1-b620-92fc53b9a14d,0.9206677079200745,11,0.7242027471550552,monitor and control machines remotely
calculate stairs rise and run,http://data.europa.eu/esco/skill/02bbd0fb-b108-49a8-9c48-5b0c447d3fdf,0.8704085350036621,0,0.6602258707787574,predict and drive the right insights
empathise with outdoor groups,http://data.europa.eu/esco/skill/02c1a369-f1e7-4f8e-8882-d7ded57f9cf4,0.9050779938697815,2,0.6658368047382497,provide connected vehicles with critical information about the presence of all road users in their vicinity
provide context to news stories,http://data.europa.eu/esco/skill/02c462b7-b93b-44a7-ba3a-9d3b7a163f51,0.9009257555007935,2,0.6392921064095207,reveal story and audience insights prior to production
draw up artistic production,http://data.europa.eu/esco/skill/02c7caf4-4e8b-4745-8917-dbbd3af17c28,0.8969188332557678,0,0.6738024627546549,speed up the discovery and development process for new treatments
install passenger service units,http://data.europa.eu/esco/skill/02d5c52b-e7f9-4d8c-adc2-d0332f49535b,0.866025984287262,0,0.6743028162731578,update operating system stack for maintenance and security
understand written Korean,http://data.europa.eu/esco/skill/02d68c2b-1722-4440-8e25-376650e123c8,0.7771357297897339,0,0.5314817543707248,read and understand contracts
keep records of bridge investigation findings,http://data.europa.eu/esco/skill/02e0b3e9-c9e0-4063-983b-b5a7697e0f78,0.9403663873672485,167,0.6390214440412045,streamline the capture of patient documentation
create model,http://data.europa.eu/esco/skill/02e22093-3436-46a8-8dc5-b041bc4800cc,0.9203957319259644,9,0.6983007616050189,"build a common repository of AI tools such as statistical models, foundational models, inferencing models, generative models"
follow procedures to control substances hazardous to health,http://data.europa.eu/esco/skill/02e235f4-a30a-412a-a06e-1c471ad28678,0.9305189251899719,43,0.7028524675045538,detection and tracking of defects to certain numbered parts
assess visual impact of displays,http://data.europa.eu/esco/skill/02eeea19-76db-4d19-bb8b-a649c0fbe796,0.9403955936431885,188,0.6634838525346374,adjust visual presentation of technology
select glassware for serving,http://data.europa.eu/esco/skill/02f115d8-9e14-499c-97c1-f9eac282edc5,0.9018271565437317,2,0.6624424843208355,optimize decision making for perishable shippers and service providers
check information on prescriptions,http://data.europa.eu/esco/skill/030de41b-bb8b-4e4b-859c-9afd4c17605b,0.9191462993621826,5,0.6856137501541718,provide detailed information on alternative investments
assume responsibility for maintaining a safe ship environment,http://data.europa.eu/esco/skill/03134e63-81eb-439a-b6eb-7de49ae01bbd,0.9093868732452393,1,0.6637092843375527,"provide a safe, secure environment for upskilling employees"
follow hygienic practices in fishery operations,http://data.europa.eu/esco/skill/031bfd8d-af80-4606-b4bb-6de4d5da6249,0.9281216263771057,108,0.652269404916083,ensure compliance and archiving for brands in regulated industries
supervise work on design planning,http://data.europa.eu/esco/skill/03227978-f839-4cc8-88a6-0a3c44d2c776,0.9575194120407104,9,0.6434892809838686,collaborate on design work
measure trees,http://data.europa.eu/esco/skill/032867c3-3c53-42ad-aabe-030eeb6292ab,0.8954426050186157,0,0.6744706589929195,determines the color and form of products and moves them to their proper spot
bend staves,http://data.europa.eu/esco/skill/0329ab41-3212-4e4f-8112-9e9ff5217f7b,0.8737818002700806,0,0.6181827940194788,determines the color and form of products and moves them to their proper spot
select music for performance,http://data.europa.eu/esco/skill/032a4ab8-1034-4541-8037-b2cdcc7fd19a,0.8944867253303528,0,0.672031115606718,"leverage understanding ability of multimodal LLM to train multimodal generation models for achieving personalised content creation including photos, videos"
tend electron beam welding machine,http://data.europa.eu/esco/skill/03305638-bd08-410a-a960-f963ad89cce6,0.8737192749977112,0,0.6574975940447733,monitor critical large-scale infrastructure using optical fibers without needing sensors
ensure infrastructure accessibility,http://data.europa.eu/esco/skill/0332f526-6dc0-4f09-8a7c-2b9473c50736,0.9523069858551025,404,0.7332987688348181,enable contact centers to use artificial intelligence and automation to improve business outcomes and transform customer experiences
inspect table settings,http://data.europa.eu/esco/skill/03353964-657a-4737-9afc-1ca9ec04195b,0.8610239028930664,0,0.6736347497267348,enable guests to skip the front desk and check in directly
drive automatic car,http://data.europa.eu/esco/skill/0337c577-f837-4518-9263-b753c24f3a21,0.8732903599739075,0,0.6099251410371151,intelligent vehicle repositioning
prepare intravenous packs,http://data.europa.eu/esco/skill/033d6175-fa43-4d75-8e2c-6df348ffa0c8,0.7933698892593384,0,0.6115009898240812,pick and deliver orders within a specific time frame
configure electronic equipment,http://data.europa.eu/esco/skill/03459358-3f0f-4b13-a143-890e2da798d3,0.8868112564086914,0,0.6631786657440819,set up integrations with granular access control
operate specialised equipment in emergency,http://data.europa.eu/esco/skill/03500955-88a6-4c3d-a8c0-7594409dcff0,0.9413480758666992,107,0.6801696806481615,deploy autonomous vehicles for material handling in logistics and manufacturing
plan retail space,http://data.europa.eu/esco/skill/03520ff5-9e68-434b-91fa-3ced9c085159,0.8624439239501953,0,0.6251138649507548,extend immersive experience to physical retail spaces through smart mirrors
write leaflets,http://data.europa.eu/esco/skill/03589d0d-a6f0-4d68-b5eb-dafbc6833efe,0.8888746500015259,0,0.6571123156622299,produce licensing tools for artists to control their likeness and receive royalties
use jewellery equipment,http://data.europa.eu/esco/skill/03598f35-15f1-41fa-bd8a-313e74523307,0.9102557897567749,3,0.6657179973209003,"acquire and integrate other companies, products, or technologies"
taste wines,http://data.europa.eu/esco/skill/0359f76c-3ef3-4e52-abcf-1b2b32ed20a5,0.8350288271903992,0,0.5967582378625805,deliver custom analog ICs in a fraction of the time compared to traditional methods
check sensorial parameters of oils and fats,http://data.europa.eu/esco/skill/0361c099-da6c-404e-984b-a8b8a0c017d1,0.8933627009391785,0,0.6122135641464616,sense and analyze humidity levels of individual products
maintain coquille parts,http://data.europa.eu/esco/skill/0377c027-2839-4b30-9acb-bb68daf925f5,0.8869721293449402,0,0.6388689170878769,automate crucial parts of security operations
understand spoken Hungarian,http://data.europa.eu/esco/skill/037b5e5f-db3c-40cd-864e-5b9b9a3a080d,0.7906188368797302,0,0.5363217723697966,understand context and meaning
schedule maintenance of airport electrical systems,http://data.europa.eu/esco/skill/037c8da7-6a0d-42b8-b979-c4abe7c92d48,0.9332705736160278,24,0.7126534855970958,automated infrastructure inspection for the utilities industry
provide pre-hospital emergency care of trauma,http://data.europa.eu/esco/skill/038256f5-7b18-4e6f-8314-2401be1b601b,0.8684231042861938,0,0.6495504427134564,detect and predict care-related events
carry out event management,http://data.europa.eu/esco/skill/03a0ab28-ce99-4e14-baf8-a66c55da28f8,0.9087188839912415,1,0.7157483784953603,streamline communication for event information and giveaways
understand spoken Welsh,http://data.europa.eu/esco/skill/03a53283-d3ee-41c1-ab3e-eb806616440e,0.74835205078125,0,0.4745018229076498,transcend barriers of spoken language
manage ICT data classification,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,0.9474492073059082,95,0.7242092178973466,analyze an information system to determine multiple dimensions of quality
keep sheet records,http://data.europa.eu/esco/skill/03aa85d2-9a67-455f-b901-595e685afdd2,0.8132418990135193,0,0.5987357266455737,maintain accurate records
brush rubber cement,http://data.europa.eu/esco/skill/03af6b34-0137-4337-8a7f-521dbef4925f,0.8202931880950928,0,0.5899939992868471,customize defect detection on material surfaces in manufacturing environments
develop leather goods collection,http://data.europa.eu/esco/skill/03b9453e-d14d-46bc-baf5-f6a6fbaa3bb7,0.935890257358551,169,0.7316190797043629,design and expedite the discovery and development processes for therapies
create solutions to problems,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,0.9683099985122681,702,0.7379762266205795,solve issues related to optimization and sampling
analyse cultural trends,http://data.europa.eu/esco/skill/03bc5f23-4317-41c2-9528-2db5c3c87b85,0.92235267162323,1,0.6508227727392168,predict cultural trends
assess cage water quality,http://data.europa.eu/esco/skill/03bc85d5-78f0-4409-86ed-87dc35345760,0.8891120553016663,0,0.638668114524782,improve water infrastructure quality
understand the architecture of a live performance,http://data.europa.eu/esco/skill/03ca6934-62ac-42e8-aca0-9e7c10bb1684,0.938916802406311,53,0.6481431107333803,provide a systemwide view of the manufacturing process
apply electrolytes to cathodes and anodes,http://data.europa.eu/esco/skill/03cf7836-708c-4d43-94ed-3d8beb170655,0.9338316321372986,116,0.6965476496940312,remove costly and complex barriers to working with physical devices
manage claim files,http://data.europa.eu/esco/skill/03d93b02-a461-4815-a4c0-b46451afc1c2,0.919569730758667,3,0.6921556586539425,"understand the intent of incidents, service requests, or queries"
rescue animals,http://data.europa.eu/esco/skill/03d93bf5-3c09-489c-a0d7-a895b068041a,0.8670978546142578,0,0.6358650161273948,"detect, investigate, and hunt for sophisticated adversaries to protect patient health information"
guide ships into docks,http://data.europa.eu/esco/skill/03d988af-2e63-4151-bb5e-950f366e2c64,0.7967718839645386,0,0.49972601580672343,provide insights into fleet performance
test materials,http://data.europa.eu/esco/skill/0415142d-6921-4f8d-832b-6271382b8193,0.9294059872627258,42,0.7342699848913931,accelerate content production timelines for training materials and assessments
update message displays,http://data.europa.eu/esco/skill/041977c2-0a83-4e9d-adb0-f984bcedba82,0.8920234441757202,0,0.6834954421047806,dynamically adjust displayed information based on vehicle location and user interactions
operate a forecourt site,http://data.europa.eu/esco/skill/042e1e68-b190-47c0-8f0d-ff312fc25b71,0.9267157316207886,1,0.611324045506158,conduct a site assessment
unload cargo,http://data.europa.eu/esco/skill/042f91e3-cccc-4d51-b635-bb14ffe90cfc,0.788716197013855,0,0.5320967632739837,recommend suitable shelf space for cargo shipments
interact with programmer on intention of consultancy work,http://data.europa.eu/esco/skill/04383349-705d-4da7-ae05-12b8c84d6bf1,0.933369517326355,169,0.72605340309652,harness the power of multimodal learning to revolutionize knowledge retention and acquisition
